1,206,116,90,90,0,128,128
1,391,121,90,90,0,128,128
6,344,211,90,90,0,0,255
1,208,336,272,43,100,100,100
0,150,72,384,384,255,100,100
1,274,337,21,43,200,200,200
1,309,337,21,43,200,200,200
1,346,336,21,43,200,200,200
1,386,337,21,43,200,200,200
1,247,344,21,34,200,200,200
1,420,340,21,34,200,200,200
1,222,348,21,25,200,200,200
1,452,344,21,25,200,200,200
1,309,284,21,25,200,200,200
1,355,281,21,25,200,200,200
1,409,152,43,43,55,200,55
1,236,147,43,43,55,200,55
1,132,176,43,135,55,55,55
1,519,177,43,135,55,55,55
1,68,32,100,100,128,128,128
2,204,49,100,100,128,128,128
6,251,34,100,100,128,128,128
0,341,28,100,100,128,128,128
2,487,37,100,100,128,128,128
3,567,40,100,100,128,128,128
5,701,69,100,100,128,128,128
